batch_size,input_length,attention_ratio,ffn_ratio,other_ratio,total_ms
1,2000,12.143726,35.905746,51.950528,2489.503019
1,4000,12.493788,36.026896,51.479316,2486.038035
1,6000,13.146755,35.423584,51.429661,2531.305324
1,8000,13.612756,35.564631,50.822613,2520.045541
1,10000,14.436995,34.813335,50.749671,2573.950843
1,12000,15.602263,34.641398,49.756339,2587.393323
1,14000,16.368783,33.780236,49.850982,2650.159749
1,16000,15.832164,33.893152,50.274683,2802.953461
1,18000,12.056114,30.019893,57.923993,7550.306620
1,20000,12.658395,29.804700,57.536905,7600.546221
2,2000,10.118839,35.353427,54.527733,2472.700752
2,4000,10.457765,35.409490,54.132745,2469.757140
2,6000,12.525362,34.385516,53.089122,2543.317472
2,8000,12.632761,34.517385,52.849854,2534.276006
2,10000,12.372969,33.996613,53.630419,2562.244585
2,12000,15.778109,33.230157,50.991734,2622.746428
2,14000,16.546262,32.674552,50.779186,2666.707560
2,16000,16.856830,32.113686,51.029483,2881.255776
2,18000,13.949192,27.653987,58.396821,8151.682144
2,20000,15.345461,26.995330,57.659209,8350.472963
3,2000,7.400327,28.640448,63.959225,3063.215578
3,4000,8.611518,28.259260,63.129222,3094.942600
3,6000,8.680782,28.057704,63.261514,3115.834526
3,8000,10.424056,27.813303,61.762641,3157.227202
3,10000,10.321558,27.540927,62.137515,3177.352219
3,12000,12.654590,27.053727,60.291682,3234.328823
3,14000,12.521239,26.957091,60.521670,3250.996806
3,16000,14.917570,26.496022,58.586407,3522.908039
3,18000,14.347831,27.143373,58.508796,8336.165638
3,20000,14.960363,26.972473,58.067164,8398.744502
4,2000,9.296441,35.023298,55.680261,2512.784560
4,4000,10.864486,34.676638,54.458877,2542.207792
4,6000,13.526728,33.375484,53.097789,2645.900391
4,8000,14.764443,33.155933,52.079624,2661.682870
4,10000,16.160923,32.216206,51.622871,2737.590419
4,12000,17.329061,32.009858,50.661081,2738.340302
4,14000,19.716065,30.705293,49.578643,2849.841872
4,16000,19.071167,30.676257,50.252576,3034.613183
4,18000,14.210903,27.192250,58.596847,8352.508572
4,20000,14.667822,27.045053,58.287125,8407.197700
