batch_size,input_length,attention_ratio,ffn_ratio,other_ratio,total_ms
1,2000,2.872055,31.400526,65.727419,6281.584345
1,4000,3.518746,33.064987,63.416267,9805.540570
1,6000,2.826702,33.464395,63.708903,19204.297711
1,8000,2.791015,33.136354,64.072631,31990.484572
1,10000,4.390395,33.297730,62.311876,28311.879663
1,12000,5.198030,33.060161,61.741809,34419.036037
1,14000,4.985714,33.228563,61.785723,47254.269942
1,16000,5.927227,32.267055,61.805718,60181.748471
1,18000,6.796221,34.879382,58.324397,59450.538079
1,20000,7.353631,34.620655,58.025714,58496.559559
2,2000,2.866689,32.997940,64.135371,9584.213116
2,4000,2.024289,33.528041,64.447670,30413.256139
2,6000,3.219439,34.104353,62.676208,32616.713021
2,8000,2.889933,33.982228,63.127839,55028.534214
2,10000,4.452807,33.616254,61.930939,58933.784511
2,12000,4.113112,33.574100,62.312789,87263.733929
2,14000,5.903178,32.902672,61.194150,90326.887912
2,16000,5.552628,33.033608,61.413764,123272.069860
2,18000,7.166057,33.525374,59.308569,114850.240709
2,20000,6.635647,33.545159,59.819195,123114.020195
3,2000,1.998596,33.614148,64.387256,18340.928763
3,4000,2.761377,34.418817,62.819806,32165.756865
3,6000,3.444577,34.422195,62.133228,45005.656491
3,8000,3.352010,34.163631,62.484359,76993.517173
3,10000,4.621566,33.958061,61.420373,90716.937516
3,12000,5.375826,33.371929,61.252245,115279.609230
3,14000,6.066032,32.976311,60.957658,145890.861711
3,16000,5.869124,32.951297,61.179579,199314.469477
3,18000,7.002075,33.177063,59.820861,179110.646124
3,20000,7.567964,32.611249,59.820787,176780.345092
4,2000,1.583918,33.689970,64.726111,29987.639172
4,4000,2.040025,34.513807,63.446168,57638.967404
4,6000,2.748597,34.534527,62.716876,86359.849323
4,8000,3.391776,34.300252,62.307972,121062.663910
4,10000,4.129094,33.997316,61.873590,156585.495371
4,12000,4.780366,33.551133,61.668500,196505.633139
4,14000,5.552190,33.148924,61.298885,217241.111108
4,16000,6.066301,32.705420,61.228279,258065.839352
4,18000,6.875061,32.774252,60.350687,238333.456578
4,20000,7.174024,32.487771,60.338205,237631.131301
