batch_size,input_length,attention_ratio,ffn_ratio,other_ratio,total_ms
1,2000,2.438110,93.732851,3.829038,4226.036292
1,4000,3.371386,92.333014,4.295599,4782.354851
1,6000,4.374128,90.836074,4.789798,5383.240355
1,8000,4.920745,89.871501,5.207755,6166.088044
1,10000,6.023253,88.241711,5.735036,6689.670097
1,12000,6.967801,86.751766,6.280434,7310.974847
1,14000,7.949446,85.253233,6.797321,7976.476502
1,16000,8.802632,83.969102,7.228265,8703.698946
1,18000,6.773984,86.919192,6.306824,17913.213109
1,20000,7.513705,85.758835,6.727460,18636.462003
2,2000,2.973870,92.863041,4.163089,4728.444287
2,4000,4.041736,91.192935,4.765329,6019.667384
2,6000,5.373829,89.048934,5.577238,7007.001663
2,8000,6.420867,87.310028,6.269105,8434.182108
2,10000,7.474092,85.737451,6.788458,9724.011992
2,12000,8.508986,84.177910,7.313104,10983.607038
2,14000,9.461247,82.687962,7.850791,12533.227903
2,16000,10.388015,81.299254,8.312731,13955.300169
2,18000,9.293270,82.355460,8.351271,24359.857215
2,20000,10.132774,81.057172,8.810054,25771.350710
3,2000,3.491184,92.089902,4.418914,5176.707613
3,4000,4.978029,89.603388,5.418583,7120.500767
3,6000,6.002407,87.938586,6.059006,8695.919168
3,8000,7.217331,86.022260,6.760409,10857.117135
3,10000,8.224533,84.435922,7.339545,12844.636878
3,12000,9.329798,82.769452,7.900750,14863.079648
3,14000,10.318174,81.329573,8.352254,17123.429086
3,16000,11.278108,79.904239,8.817653,19543.711937
3,18000,10.816477,79.854461,9.329062,31016.605300
3,20000,11.651411,78.546337,9.802251,32816.616377
4,2000,3.602620,91.822171,4.575209,5870.742309
4,4000,5.182663,89.139839,5.677497,8039.635196
4,6000,6.439445,87.139362,6.421193,10466.864950
4,8000,7.607500,85.274183,7.118317,13218.786865
4,10000,8.692579,83.646057,7.661365,15933.545655
4,12000,9.799076,81.981753,8.219172,18652.482376
4,14000,10.778928,80.558491,8.662581,21850.524700
4,16000,11.659094,79.317763,9.023143,25599.251591
4,18000,11.826949,78.192893,9.980158,37651.131655
4,20000,12.710517,76.790781,10.498702,39824.834641
